every,delay,median,bottom,top
1,1,0.997348039208349,0.980794801009397,0.999785860450656
2,1,0.945674406767466,0.857424237405779,0.984302815888824
4,1,0.759366921530388,0.588080164289537,0.872625472593881
7,1,0.466709717035486,0.346637161795464,0.581208218529914
14,1,0.233354858517743,0.173318580897732,0.290604109264957
1,2,0.990232483998252,0.934042017092513,0.998973264724496
2,2,0.893218285247593,0.717836764676879,0.963710041959008
4,2,0.629669653095952,0.417011295193115,0.803725110976859
7,2,0.364983693465105,0.240111645055328,0.474035881788793
14,2,0.182491846732553,0.120055822527664,0.237017940894396
