days_since_infection,median,lower_95,upper_95
22.4,0.000501202366393646,2.37251901267604e-06,0.00815210026392956
22.5,0.000478541039923197,2.17616628887553e-06,0.00794168237686358
22.6,0.000456270823570068,1.98569520951393e-06,0.00773582169476564
22.7,0.00043509179390561,1.81785933452161e-06,0.00753319524692219
22.8,0.000414570821250115,1.68132119401269e-06,0.00732033337469449
22.9,0.000395814709062444,1.5553800317307e-06,0.00711344422079288
23,0.000378109591700533,1.43887584797414e-06,0.00691236257211385
23.1,0.000361581580017411,1.31556649125728e-06,0.00671692765211787
23.2,0.000345753247731891,1.1976881746191e-06,0.00652698300919415
23.3,0.000330129445455182,1.09633946130911e-06,0.00634237640740802
23.4,0.000314945781662111,1.01370106654473e-06,0.00616295971960284
23.5,0.000300740432816954,9.37327129264207e-07,0.00598820441331782
23.6,0.000287037766861976,8.61810721751772e-07,0.00581804523141088
23.7,0.000273877993649727,7.87781815861951e-07,0.00565269444073451
23.8,0.000261257528117444,7.2011204514666e-07,0.00549201768580746
23.9,0.000249049018389859,6.58255146855731e-07,0.0053358842794185
24,0.000238006967049933,6.01711783984441e-07,0.00518416710732537
