lower,lower_mid,median,upper_mid,upper,t
8.122550608922809e-63,2.825244426383216e-20,4.1817124450924405e-13,1.9272406594742776e-9,6.061700012554911e-6,1
8.122550608922809e-63,2.825244426383216e-20,4.1817124450924405e-13,1.9272406594742776e-9,6.061700012554911e-6,2
0.14796050109837622,0.28571379023738497,0.35631171673510487,0.42226841442208624,0.5521232473160086,3
0.8694191121184575,0.9405158042308944,0.9642890729645097,0.9797419873658337,0.9944664459294623,4
0.8569558213681897,0.9302816141398138,0.9560745978977792,0.9748951834672407,0.9930401844723311,5
0.8385205403338943,0.9180204313281203,0.9471464315629565,0.9685776551430173,0.9908921865775228,6
0.8168640119915054,0.902154919285016,0.935810233041374,0.96061767123674,0.9876327959379403,7
0.7918521982567135,0.8836152108978427,0.9223862373540671,0.9506675639694888,0.98358653484733,8
0.7632369653792347,0.866379671435731,0.9074011217397763,0.940707181510733,0.9794924807815159,9
0.726367104046115,0.8401467386088763,0.8895044105547254,0.9274973630612593,0.9738222258850208,10
0.6636065503751841,0.8133133886084738,0.8675564307765892,0.9116126461037796,0.9677397306495764,11
0.5831628933194392,0.778293277784636,0.8436574062318438,0.8940980281319195,0.9602927339875656,12
0.484995644040537,0.7400342086057647,0.8149089573220993,0.8733493865710494,0.9536804852992942,13
0.3838570302635706,0.69809625873103,0.7824538005334275,0.8520863377548181,0.9425146946451929,14
0.3269631699024293,0.6386360914891609,0.7456266552100937,0.8268717278658398,0.9306717519870082,15
0.24751775896338027,0.5782385209305443,0.702725107223048,0.7988830932105073,0.9177073988369314,16
0.21113720009851678,0.51247961162212,0.6590694368122179,0.7679055791408793,0.9045238159695049,17
0.16407810757234104,0.4366168501243942,0.6043584626277307,0.7287687567484471,0.8910791008094041,18
0.13523138134709095,0.37558009999255754,0.5490300991101322,0.6884132271069044,0.8757336511892044,19
0.11763502679922316,0.3239316044671645,0.4852800294982302,0.6411853305660501,0.86106139281505,20
0.09950666344266527,0.2825156444387842,0.42270472819106336,0.5872992844233602,0.8308751653426001,21
0.08888245605637407,0.24617033096564672,0.3716331532791699,0.5239156623383382,0.8067159416287689,22
0.07903913786721034,0.21070198461200026,0.324184245573075,0.46650617839252784,0.7680554075923253,23
0.06937923580868337,0.1851955770155802,0.2850741967904823,0.40890687512784535,0.7189902887940568,24
0.06045470290126511,0.16242578129500757,0.25136919328857715,0.3633491155180215,0.6574064589338683,25
0.052701547055586835,0.14262800324146818,0.22108871768987123,0.3208632490511365,0.5851913178886191,26
0.04633257348865245,0.12395970356862701,0.19242312182597837,0.2836690104815307,0.5153419585416793,27
0.040717531608459284,0.10837641982406479,0.17004027264570326,0.2529286926898049,0.4631684415967606,28
0.03559290574562249,0.09413006186459731,0.1489005027158622,0.22393848873028013,0.4018996684303927,29
0.030644166647353283,0.081873805048715,0.13081768850892111,0.19895454237425378,0.3475032434503895,30
0.027334868899561035,0.07124309733814885,0.11503221712274544,0.1783429960024257,0.3131275990542937,31
0.02304790314662166,0.06249892599365617,0.10217886611508835,0.15867288775877467,0.28571748000981734,32
0.020026019066401727,0.054755237776584885,0.09033930132993001,0.14122583750192041,0.2537576135001872,33
0.016797078177118133,0.04720687234683739,0.07916101427488303,0.12657076210773044,0.22710721643319665,34
0.0144762056526007,0.04115031213594471,0.06891149614395115,0.11284039954836257,0.20335141780616628,35
0.011895022442569608,0.03583513474596503,0.06069306306339603,0.09990597197115707,0.18415205003970225,36
0.009738635740766048,0.030958544369553698,0.053784136781390324,0.0895161689427326,0.16833465283187868,37
0.007969569691765255,0.026551571574293793,0.047730901774540924,0.07950538734983016,0.15509249559065139,38
0.006521226476958225,0.0230869872641077,0.042326703013031056,0.07070150083503966,0.1390235369597713,39
0.005340496923223668,0.02003291772544124,0.03688117158775844,0.06327800868203184,0.12740191599860964,40
0.0044887650563636035,0.01746160256115948,0.03253136428512393,0.056598795566247764,0.11382376894419376,41
0.0036285508314225622,0.01506916512019919,0.02836357221770739,0.05053169970388021,0.10634751663942836,42
0.002941055781043609,0.013069370462469133,0.02489953465770569,0.04479141082410251,0.09466882051053592,43
0.0023951833848803758,0.01133027945418605,0.021955813387216715,0.039587445387038074,0.08703780188566897,44
0.001949233523415665,0.009628962787576318,0.01901747113021922,0.03502576609991389,0.08055995112345661,45
0.0015927321499785009,0.008131628128414878,0.01671384887484631,0.030934112751588423,0.07335217426619405,46
